Monthly averages of Solar 10.7 cm flux
 Year   Mon   Obsflux    Adjflux    Absflux
 1947    2     202.75     198.41     178.57
 1947    3     226.29     224.10     201.69
 1947    4     264.15     265.84     239.26
 1947    5     261.17     267.09     240.37
 1947    6     217.54     224.49     202.03
 1947    7     207.23     214.01     192.61
 1947    8     231.21     237.09     213.39
 1947    9     192.03     194.10     174.69
 1947   10     209.05     207.65     186.87
 1947   11     179.83     175.76     158.18
 1947   12     176.43     170.93     153.84
 1948    1     149.91     145.10     130.59
 1948    2     134.27     131.03     117.92
 1948    3     135.54     134.15     120.72
 1948    4     208.15     209.78     188.81
 1948    5     226.46     231.50     208.37
 1948    6     195.54     201.78     181.60
 1948    7     182.76     188.72     169.84
 1948    8     172.83     177.18     159.45
 1948    9     163.73     165.49     148.95
 1948   10     159.15     157.98     142.17
 1948   11     165.41     161.77     145.58
 1948   12     193.33     187.22     168.50
 1949    1     176.73     171.12     154.01
 1949    2     220.25     214.94     193.44
 1949    3     203.91     201.80     181.63
 1949    4     182.54     183.88     165.49
 1949    5     148.92     152.27     137.03
 1949    6     157.54     162.56     146.29
 1949    7     159.87     165.06     148.55
 1949    8     175.16     179.45     161.50
 1949    9     172.49     174.30     156.86
 1949   10     178.19     177.14     159.41
 1949   11     180.38     176.42     158.78
 1949   12     165.20     160.09     144.06
 1950    1     150.74     145.95     131.35
 1950    2     143.30     139.89     125.89
 1950    3     137.83     136.41     122.78
 1950    4     164.29     165.46     148.92
 1950    5     157.09     160.50     144.46
 1950    6     128.72     132.82     119.54
 1950    7     127.05     131.19     118.08
 1950    8     120.88     123.87     111.50
 1950    9      98.51      99.58      89.64
 1950   10      95.35      94.72      85.24
 1950   11     101.90      99.68      89.73
 1950   12     101.11      97.96      88.18
 1951    1     103.23      99.97      89.97
 1951    2     101.84      99.38      89.44
 1951    3     102.47     101.48      91.32
 1951    4     121.53     122.41     110.18
 1951    5     168.56     172.43     155.19
 1951    6     161.75     166.87     150.18
 1951    7     116.35     120.18     108.15
 1951    8     109.78     112.50     101.25
 1951    9     117.78     119.05     107.15
 1951   10     106.02     105.26      94.73
 1951   11     104.35     102.04      91.84
 1951   12      98.30      95.22      85.69
 1952    1      91.24      88.33      79.50
 1952    2      86.17      84.12      75.70
 1952    3      74.95      74.25      66.82
 1952    4      83.91      84.54      76.08
 1952    5      80.82      82.68      74.41
 1952    6      82.00      84.63      76.17
 1952    7      88.81      91.70      82.54
 1952    8      93.21      95.51      85.96
 1952    9      78.44      79.25      71.32
 1952   10      82.76      82.19      73.96
 1952   11      83.35      81.48      73.35
 1952   12      85.66      82.99      74.67
 1953    1      79.52      77.00      69.29
 1953    2      69.32      67.65      60.89
 1953    3      66.86      66.21      59.59
 1953    4      80.91      81.53      73.38
 1953    5      72.45      74.10      66.69
 1953    6      72.97      75.30      67.77
 1953    7      69.83      72.09      64.89
 1953    8      72.53      74.33      66.89
 1953    9      74.28      75.05      67.55
 1953   10      71.89      71.41      64.26
 1953   11      68.73      67.20      60.48
 1953   12      70.72      68.53      61.67
 1954    1      65.68      63.58      57.22
 1954    2      69.11      67.44      60.69
 1954    3      71.85      71.11      64.00
 1954    4      68.67      69.20      62.28
 1954    5      65.36      66.84      60.16
 1954    6      67.30      69.43      62.49
 1954    7      67.74      69.96      62.96
 1954    8      69.83      71.59      64.41
 1954    9      70.10      70.83      63.74
 1954   10      73.12      72.64      65.38
 1954   11      72.55      70.97      63.87
 1954   12      75.43      73.08      65.77
 1955    1      81.23      78.64      70.76
 1955    2      81.96      79.96      71.97
 1955    3      71.77      71.01      63.90
 1955    4      77.25      77.81      70.03
 1955    5      82.74      84.62      76.16
 1955    6      88.83      91.65      82.48
 1955    7      87.29      90.16      81.14
 1955    8      90.63      92.91      83.61
 1955    9      95.05      96.09      86.48
 1955   10     111.81     110.98      99.89
 1955   11     130.01     127.17     114.45
 1955   12     134.56     130.38     117.33
 1956    1     136.61     132.25     119.03
 1956    2     167.23     163.28     146.95
 1956    3     160.60     159.09     143.19
 1956    4     159.80     161.04     144.94
 1956    5     163.38     167.08     150.37
 1956    6     154.00     158.91     143.01
 1956    7     157.21     162.32     146.09
 1956    8     193.78     198.54     178.69
